Date,Trend Line
2014-09-23,32.29388333231812
2014-09-24,32.342149433719115
2014-09-25,32.39041553512013
2014-09-26,32.438681636521125
2014-09-29,32.48694773792212
2014-09-30,32.535213839323134
2014-10-01,32.58347994072413
2014-10-02,32.63174604212513
2014-10-03,32.68001214352614
2014-10-06,32.72827824492714
2014-10-07,32.77654434632814
2014-10-08,32.82481044772915
2014-10-09,32.87307654913015
2014-10-10,32.921342650531145
2014-10-13,32.96960875193216
2014-10-14,33.017874853333154
2014-10-15,33.06614095473415
2014-10-16,33.114407056135164
2014-10-17,33.16267315753616
2014-10-20,33.21093925893716
2014-10-21,33.25920536033817
2014-10-22,33.30747146173917
2014-10-23,33.35573756314017
2014-10-24,33.40400366454118
2014-10-27,33.45226976594218
2014-10-28,33.500535867343174
2014-10-29,33.548801968744186
2014-10-30,33.597068070145184
2014-10-31,33.64533417154618
2014-11-03,33.693600272947194
2014-11-04,33.74186637434819
2014-11-05,33.79013247574919
2014-11-06,33.8383985771502
2014-11-07,33.8866646785512
2014-11-10,33.9349307799522
2014-11-11,33.98319688135321
2014-11-12,34.031462982754206
2014-11-13,34.079729084155204
2014-11-14,34.127995185556216
2014-11-17,34.176261286957214
2014-11-18,34.22452738835821
2014-11-19,34.27279348975922
2014-11-20,34.32105959116022
2014-11-21,34.36932569256122
2014-11-24,34.41759179396223
2014-11-25,34.46585789536323
2014-11-26,34.514123996764226
2014-11-28,34.56239009816524
2014-12-01,34.610656199566236
2014-12-02,34.658922300967234
2014-12-03,34.707188402368246
2014-12-04,34.75545450376924
2014-12-05,34.80372060517024
2014-12-08,34.85198670657125
2014-12-09,34.90025280797225
2014-12-10,34.94851890937325
2014-12-11,34.99678501077426
2014-12-12,35.04505111217526
2014-12-15,35.093317213576256
2014-12-16,35.14158331497727
2014-12-17,35.189849416378266
2014-12-18,35.23811551777926
2014-12-19,35.286381619180275
2014-12-22,35.33464772058127
2014-12-23,35.38291382198227
2014-12-24,35.43117992338328
2014-12-26,35.47944602478428
2014-12-29,35.52771212618528
2014-12-30,35.575978227586276
2014-12-31,35.62424432898729
2015-01-02,35.672510430388286
2015-01-05,35.720776531789284
2015-01-06,35.769042633190296
2015-01-07,35.81730873459129
2015-01-08,35.86557483599229
2015-01-09,35.9138409373933
2015-01-12,35.9621070387943
2015-01-13,36.0103731401953
2015-01-14,36.05863924159631
2015-01-15,36.10690534299731
2015-01-16,36.155171444398306
2015-01-20,36.20343754579932
2015-01-21,36.251703647200316
2015-01-22,36.29996974860131
2015-01-23,36.348235850002325
2015-01-26,36.39650195140332
2015-01-27,36.44476805280432
2015-01-28,36.49303415420533
2015-01-29,36.54130025560633
2015-01-30,36.58956635700733
2015-02-02,36.63783245840834
2015-02-03,36.68609855980934
2015-02-04,36.734364661210336
2015-02-05,36.78263076261135
2015-02-06,36.830896864012345
2015-02-09,36.87916296541334
2015-02-10,36.927429066814355
2015-02-11,36.97569516821535
2015-02-12,37.02396126961635
2015-02-13,37.07222737101736
2015-02-17,37.12049347241836
2015-02-18,37.16875957381936
2015-02-19,37.21702567522037
2015-02-20,37.26529177662137
2015-02-23,37.313557878022365
2015-02-24,37.36182397942338
2015-02-25,37.410090080824375
2015-02-26,37.45835618222537
2015-02-27,37.506622283626385
2015-03-02,37.55488838502738
2015-03-03,37.60315448642838
